id,full_name,first_name,last_name,is_active,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GS,MIN,OREB,PF,PF_AST,PF_BLK,PF_DREB,PF_FG3A,PF_FG3M,PF_FG3_PCT,PF_FGA,PF_FGM,PF_FG_PCT,PF_FTA,PF_FTM,PF_FT_PCT,PF_GP,PF_GS,PF_MIN,PF_OREB,PF_PF,PF_PTS,PF_REB,PF_STL,PF_TOV,PTS,REB,STL,TOV
203544,Pero Antic,Pero,Antic,False,107,26,283,344,108,0.313953488372,590,231,0.391525423728,189,138,0.730158730158,113,29,1962,115,258,9.0,6.0,51.0,57.0,14.0,0.245614035087,92.0,23.0,0.25,33.0,25.0,0.757575757575,22.0,8.0,368.0,19.0,64.0,85.0,70.0,7.0,13.0,708,398,37,104
203951,Keith Appling,Keith,Appling,False,1,0,1,3,0,0.0,8,2,0.25,2,2,1.0,5,0,27,0,5,,,,,,,,,,,,,,,,,,,,,,6,1,1,3
2737,Rafael Araujo,Rafael,Araujo,False,41,16,271,4,1,0.25,385,156,0.405194805194,112,76,0.678571428571,139,75,1584,124,300,1.0,0.0,8.0,0.0,0.0,0.0,8.0,3.0,0.375,12.0,5.0,0.416666666666,5.0,0.0,27.0,3.0,8.0,11.0,11.0,1.0,0.0,389,395,51,111
76053,Stacey Arceneaux,Stacey,Arceneaux,False,4,,,,,,56,22,0.392857142857,13,6,0.461538461538,7,,110,,10,,,,,,,,,,,,,,,,,,,,,,50,32,,
76054,Nate Archibald,Nate,Archibald,False,6476,81,1015,85,19,,12628,5899,0.467136522014,5760,4664,0.809722222222,876,758,31159,344,2002,306.0,2.0,62.0,17.0,2.0,,556.0,235.0,0.422661870503,236.0,195.0,0.82627118644,47.0,8.0,1502.0,15.0,118.0,667.0,77.0,34.0,122.0,16481,2046,719,1123
2425,Robert Archibald,Robert,Archibald,False,16,6,42,0,0,0.0,53,15,0.283018867924,49,21,0.428571428571,44,3,328,27,59,,,,,,,,,,,,,,,,,,,,,,51,69,14,17
1627853,Ryan Arcidiacono,Ryan,Arcidiacono,False,487,7,399,491,181,0.368635437881,851,358,0.420681551116,166,134,0.807228915662,257,40,3939,53,359,,,,,,,,,,,,,,,,,,,,,,1031,452,122,135
76055,Jim Ard,Jim,Ard,False,149,96,579,,,,831,300,0.361010830324,246,171,0.695121951219,218,,2666,241,384,9.0,4.0,16.0,,,,37.0,14.0,0.378378378378,14.0,11.0,0.785714285714,21.0,,124.0,12.0,34.0,39.0,28.0,1.0,,771,820,43,14
2240,Gilbert Arenas,Gilbert,Arenas,False,2909,134,1724,3077,1079,0.350666233344,8850,3722,0.420564971751,3584,2879,0.803292410714,552,455,19348,444,1683,118.0,11.0,88.0,151.0,46.0,0.304635761589,420.0,172.0,0.409523809523,182.0,140.0,0.76923076923,31.0,18.0,934.0,19.0,88.0,530.0,107.0,37.0,74.0,11402,2168,884,1744
2772,Trevor Ariza,Trevor,Ariza,False,2379,355,4275,4579,1605,0.350513212491,9804,4135,0.421766625866,2350,1718,0.731063829787,1118,769,32954,1081,2205,194.0,26.0,426.0,458.0,167.0,0.36462882096,892.0,377.0,0.42264573991,212.0,153.0,0.721698113207,106.0,94.0,3389.0,102.0,278.0,1074.0,528.0,142.0,121.0,11593,5356,1628,1473
76056,Paul Arizin,Paul,Arizin,False,1665,,,,,,13354,5628,0.421446757525,6189,5010,0.809500727096,713,,24897,,2764,128.0,,,,,,1001.0,411.0,0.410589410589,439.0,364.0,0.829157175398,49.0,,1815.0,,177.0,1186.0,404.0,,,16266,6129,,
76057,Joe Arlauckas,Joe,Arlauckas,False,8,4,7,0,0,0.0,43,14,0.325581395348,8,6,0.75,9,0,85,6,16,,,,,,,,,,,,,,,,,,,,,,34,13,3,4
769,B.J. Armstrong,B.J.,Armstrong,False,2479,47,1129,1026,436,0.424951267056,5981,2850,0.476508944992,1383,1184,0.856109906001,747,341,17790,192,1128,252.0,3.0,127.0,113.0,51.0,0.451327433628,667.0,314.0,0.470764617691,179.0,149.0,0.832402234636,105.0,39.0,2364.0,24.0,171.0,828.0,151.0,82.0,79.0,7320,1321,533,889
